Row,MutualSVM,Fsa,ReliefLogist,ReliefFsa,FisherSVM,GiniFsa,MutualFsa,SVM,GiniSVM,FisherFsa,Chi2Fsa,Chi2SVM,MutualLogist,FisherLogist,TscoreSVM,MrmrFsa,MrmrSVM,TscoreFsa,TscoreLogist,Chi2Logist,GiniLogist,MrmrLogist,ReliefBoostedDT,ReliefNaiveB,ReliefSVM,FisherBoostedDT,LogisticReg,MutualBoostedDT,TscoreBoostedDT,GiniBoostedDT,MrmrBoostedDT,FisherNaiveB,Chi2BoostedDT,MutualNaiveB,BoostedDT,MrmrNaiveB,TscoreNaiveB,Chi2NaiveB,GiniNaiveB,NaiveBayes
MutualSVM,1,0.7838,0.6439,0.3667,0.2771,0.286,<0.05,<0.05,<0.05,<0.05,0.1294,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.082,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,0.7838,1,0.7361,0.313,0.1434,0.2063,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0552,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0549,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefLogist,0.6439,0.7361,1,<0.05,0.2998,0.145,0.0803,0.1119,0.0607,<0.05,<0.05,<0.05,0.0872,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.0924,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefFsa,0.3667,0.313,<0.05,1,0.8078,0.4182,0.2579,0.2691,0.1507,<0.05,0.1007,0.0702,0.1605,0.062,<0.05,<0.05,<0.05,<0.05,<0.05,0.078,<0.05,<0.05,0.1145,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherSVM,0.2771,0.1434,0.2998,0.8078,1,0.5169,0.29,0.2766,0.1796,0.1739,0.1333,0.0884,0.2018,0.0562,<0.05,<0.05,<0.05,<0.05,0.0625,0.0985,<0.05,<0.05,0.1385,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniFsa,0.286,0.2063,0.145,0.4182,0.5169,1,0.9263,0.8516,0.7073,0.5926,0.4633,0.5599,0.5818,0.3585,0.2514,0.1415,0.2409,0.0946,0.2696,0.2076,<0.05,<0.05,0.2619,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualFsa,<0.05,<0.05,0.0803,0.2579,0.29,0.9263,1,0.6267,0.4963,0.5329,0.539,0.13,0.3969,0.0545,<0.05,<0.05,<0.05,<0.05,<0.05,0.0962,<0.05,<0.05,0.178,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
SVM,<0.05,<0.05,0.1119,0.2691,0.2766,0.8516,0.6267,1,0.6376,0.6409,0.6863,0.0681,0.3904,0.1349,<0.05,0.0888,<0.05,0.0553,0.0676,0.1338,<0.05,<0.05,0.2023,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniSVM,<0.05,<0.05,0.0607,0.1507,0.1796,0.7073,0.4963,0.6376,1,0.8149,0.8468,0.4126,0.3636,0.3894,0.1191,0.2141,0.094,0.1494,0.1847,0.124,<0.05,<0.05,0.2655,<0.05,0.0611,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherFsa,<0.05,<0.05,<0.05,<0.05,0.1739,0.5926,0.5329,0.6409,0.8149,1,0.956,0.8867,0.8348,0.7335,0.3688,0.2206,0.1865,0.134,0.3051,0.3571,0.147,<0.05,0.2412,<0.05,0.0991,<0.05,<0.05,<0.05,0.052,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
