Row,ReliefFsa,MutualSVM,MutualFsa,GiniSVM,MrmrSVM,Chi2Fsa,ReliefBoostedDT,SVM,TscoreSVM,FisherSVM,Chi2SVM,GiniFsa,TscoreBoostedDT,MrmrBoostedDT,Fsa,BoostedDT,FisherBoostedDT,GiniBoostedDT,FisherFsa,TscoreFsa,MrmrFsa,MutualBoostedDT,Chi2BoostedDT,ReliefLogist,GiniLogist,Chi2Logist,FisherLogist,TscoreLogist,MrmrLogist,MutualLogist,MrmrNaiveB,FisherNaiveB,TscoreNaiveB,Chi2NaiveB,GiniNaiveB,MutualNaiveB,LogisticReg,ReliefNaiveB,NaiveBayes,ReliefSVM
ReliefFsa,1,0.9154,0.6535,0.2697,0.1301,0.1946,0.2093,0.125,0.1226,<0.05,0.1855,0.2418,<0.05,<0.05,<0.05,<0.05,0.0849,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualSVM,0.9154,1,0.6411,0.096,<0.05,<0.05,0.1403,<0.05,<0.05,<0.05,<0.05,0.1421,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualFsa,0.6535,0.6411,1,0.6889,0.6325,0.5662,0.3569,0.4448,0.4968,0.2054,0.4147,0.3571,0.1546,0.2224,0.2314,0.1412,<0.05,0.1335,<0.05,<0.05,<0.05,<0.05,<0.05,0.0542,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniSVM,0.2697,0.096,0.6889,1,0.7939,0.6597,0.752,0.2176,0.3649,0.3587,0.4207,0.4921,0.1335,<0.05,<0.05,0.1452,0.1118,0.0544,0.1424,0.0588,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrSVM,0.1301,<0.05,0.6325,0.7939,1,0.7869,0.8161,0.5491,0.4651,0.525,0.5614,0.6413,<0.05,<0.05,0.0816,0.0558,0.1366,<0.05,0.1405,0.0552,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2Fsa,0.1946,<0.05,0.5662,0.6597,0.7869,1,0.9622,0.8463,0.6503,0.7078,0.5466,0.6497,0.0807,0.1303,0.206,0.1462,0.1536,<0.05,0.244,0.1132,<0.05,<0.05,<0.05,0.0616,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefBoostedDT,0.2093,0.1403,0.3569,0.752,0.8161,0.9622,1,0.9431,0.9207,0.7467,0.8031,0.7923,0.2546,0.3067,0.3208,0.1416,0.1282,0.1527,<0.05,<0.05,0.0703,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
SVM,0.125,<0.05,0.4448,0.2176,0.5491,0.8463,0.9431,1,0.9025,0.7308,0.7074,0.7178,0.2259,0.0607,0.0804,0.2236,0.1511,0.0809,0.2003,0.0861,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreSVM,0.1226,<0.05,0.4968,0.3649,0.4651,0.6503,0.9207,0.9025,1,0.8508,0.673,0.7584,0.1926,0.0833,0.1443,0.2233,0.223,<0.05,0.2846,0.1484,<0.05,<0.05,<0.05,0.0556,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherSVM,<0.05,<0.05,0.2054,0.3587,0.525,0.7078,0.7467,0.7308,0.8508,1,0.9283,0.8673,0.3872,0.2906,0.3205,0.3216,0.2486,0.2339,0.1702,<0.05,<0.05,0.0905,<0.05,0.0521,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2SVM,0.1855,<0.05,0.4147,0.4207,0.5614,0.5466,0.8031,0.7074,0.673,0.9283,1,0.9109,0.5191,0.3958,0.3976,0.4669,0.3751,0.2354,0.4265,0.2697,<0.05,0.0952,<0.05,0.1544,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniFsa,0.2418,0.1421,0.3571,0.4921,0.6413,0.6497,0.7923,0.7178,0.7584,0.8673,0.9109,1,0.6812,0.5683,0.5168,0.6021,0.4247,0.4103,0.48,0.3241,0.0524,0.1777,0.1019,0.1957,<0.05,0.0556,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreBoostedDT,<0.05,<0.05,0.1546,0.1335,<0.05,0.0807,0.2546,0.2259,0.1926,0.3872,0.5191,0.6812,1,0.8637,0.8213,0.376,0.5638,0.1654,0.5099,0.276,0.3013,<0.05,<0.05,0.149,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MrmrBoostedDT,<0.05,<0.05,0.2224,<0.05,<0.05,0.1303,0.3067,0.0607,0.0833,0.2906,0.3958,0.5683,0.8637,1,0.7739,0.8527,0.7555,0.5151,0.6569,0.4809,0.3,0.2188,<0.05,0.0756,<0.05,<0.05,<0.05,0.0662,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,<0.05,<0.05,0.2314,<0.05,0.0816,0.206,0.3208,0.0804,0.1443,0.3205,0.3976,0.5168,0.8213,0.7739,1,0.9493,0.8329,0.6643,0.7411,0.591,0.3895,0.2986,0.0602,0.0813,0.0618,<0.05,<0.05,0.0835,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
BoostedDT,<0.05,<0.05,0.1412,0.1452,0.0558,0.1462,0.1416,0.2236,0.2233,0.3216,0.4669,0.6021,0.376,0.8527,0.9493,1,0.8468,0.5334,0.6791,0.4473,0.5556,0.0939,<0.05,0.199,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherBoostedDT,0.0849,<0.05,<0.05,0.1118,0.1366,0.1536,0.1282,0.1511,0.223,0.2486,0.3751,0.4247,0.5638,0.7555,0.8329,0.8468,1,0.8597,0.8291,0.6029,0.5394,0.0882,0.142,0.2836,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
