Row,MutualLogist,Chi2BoostedDT,Chi2Logist,GiniLogist,GiniBoostedDT,MutualBoostedDT,BoostedDT,FisherLogist,MutualSVM,TscoreLogist,MrmrLogist,MrmrSVM,TscoreBoostedDT,FisherBoostedDT,MrmrBoostedDT,SVM,TscoreSVM,MutualFsa,Chi2Fsa,GiniFsa,TscoreFsa,MrmrFsa,FisherFsa,Chi2SVM,GiniSVM,LogisticReg,Fsa,FisherSVM,ReliefBoostedDT,ReliefFsa,ReliefLogist,MutualNaiveB,MrmrNaiveB,Chi2NaiveB,GiniNaiveB,TscoreNaiveB,FisherNaiveB,ReliefNaiveB,ReliefSVM,NaiveBayes
MutualLogist,1,0.75,0.4425,0.4531,0.3927,0.2367,0.085,<0.05,0.1168,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2BoostedDT,0.75,1,0.879,0.817,0.5973,0.3548,0.19,<0.05,0.1775,0.0571,<0.05,0.1099,0.0633,0.0633,0.1015,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2Logist,0.4425,0.879,1,0.683,0.7752,0.371,0.1137,0.0648,0.1335,<0.05,0.0735,<0.05,<0.05,<0.05,0.0709,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniLogist,0.4531,0.817,0.683,1,0.852,0.4346,0.1691,0.0944,0.1709,0.0623,0.1092,0.0598,0.0684,0.0684,0.1097,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniBoostedDT,0.3927,0.5973,0.7752,0.852,1,0.7583,0.5216,0.37,0.4736,0.2933,0.2811,0.1862,0.0947,0.0947,0.1588,0.1833,0.1887,<0.05,0.0941,0.0957,0.0628,<0.05,<0.05,<0.05,<0.05,0.0986,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualBoostedDT,0.2367,0.3548,0.371,0.4346,0.7583,1,0.2329,0.3426,0.0764,0.1693,0.1649,0.235,0.2461,0.2461,0.2709,<0.05,<0.05,0.0643,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
BoostedDT,0.085,0.19,0.1137,0.1691,0.5216,0.2329,1,0.8131,0.3614,0.6056,0.5445,0.3957,0.4459,0.4459,0.4984,0.0982,<0.05,0.1102,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherLogist,<0.05,<0.05,0.0648,0.0944,0.37,0.3426,0.8131,1,0.8804,0.7365,0.5581,0.5925,0.4593,0.4593,0.5504,0.1216,0.2492,0.1932,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualSVM,0.1168,0.1775,0.1335,0.1709,0.4736,0.0764,0.3614,0.8804,1,0.998,0.8619,0.7151,0.7221,0.7221,0.735,0.3932,0.0702,0.3373,0.1578,0.1613,<0.05,0.1063,0.1087,0.0757,0.0795,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreLogist,<0.05,0.0571,<0.05,0.0623,0.2933,0.1693,0.6056,0.7365,0.998,1,0.6469,0.5855,0.5392,0.5392,0.5741,<0.05,0.1999,0.0801,0.0557,0.0606,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
