Row,MrmrBoostedDT,TscoreBoostedDT,FisherBoostedDT,MutualBoostedDT,GiniBoostedDT,Chi2BoostedDT,Chi2Fsa,GiniFsa,MutualFsa,TscoreFsa,FisherFsa,MrmrFsa,ReliefBoostedDT,ReliefFsa,Fsa,TscoreSVM,FisherSVM,GiniSVM,MrmrSVM,Chi2SVM,MutualSVM,MutualLogist,BoostedDT,FisherLogist,Chi2Logist,GiniLogist,MrmrLogist,TscoreLogist,ReliefLogist,SVM,LogisticReg,MutualNaiveB,MrmrNaiveB,TscoreNaiveB,FisherNaiveB,GiniNaiveB,Chi2NaiveB,ReliefNaiveB,NaiveBayes,ReliefSVM
MrmrBoostedDT,1,0.9579,0.9579,0.704,0.4221,0.3945,0.1758,0.1794,0.1283,0.0727,0.0727,0.0609,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreBoostedDT,0.9579,1,1,0.6621,0.3582,0.4993,0.0658,0.0661,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
FisherBoostedDT,0.9579,1,1,0.6621,0.3582,0.4993,0.0658,0.0661,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualBoostedDT,0.704,0.6621,0.6621,1,0.9101,0.9196,0.3954,0.3732,0.4268,0.257,0.257,0.238,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniBoostedDT,0.4221,0.3582,0.3582,0.9101,1,0.9941,0.2334,0.2382,0.0681,<0.05,<0.05,<0.05,0.0617,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2BoostedDT,0.3945,0.4993,0.4993,0.9196,0.9941,1,0.4031,0.4008,0.2704,0.1716,0.1716,0.1484,0.0606,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Chi2Fsa,0.1758,0.0658,0.0658,0.3954,0.2334,0.4031,1,0.8979,0.8731,0.1339,0.1339,0.1006,0.1815,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
GiniFsa,0.1794,0.0661,0.0661,0.3732,0.2382,0.4008,0.8979,1,0.9041,0.1701,0.1701,0.141,0.1727,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualFsa,0.1283,<0.05,<0.05,0.4268,0.0681,0.2704,0.8731,0.9041,1,0.1434,0.1434,0.0997,0.2207,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
TscoreFsa,0.0727,<0.05,<0.05,0.257,<0.05,0.1716,0.1339,0.1701,0.1434,1,1,0.2693,0.2558,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
