Row,MutualInfoRidge,ReliefRidge,CorrelationRidge,Ridge,MutualInfoFsa,Fsa,ReliefFsa,CorrelationFsa,CorrelationBoostedTree,ReliefBoostedTree,MutualInfoBoostedTree,BoostedRegTree
MutualInfoRidge,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefRidge,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationRidge,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
Ridge,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05
MutualInfoFsa,<0.05,<0.05,<0.05,<0.05,1,0.5369,0.2641,<0.05,<0.05,<0.05,<0.05,<0.05
Fsa,<0.05,<0.05,<0.05,<0.05,0.5369,1,0.9605,<0.05,<0.05,<0.05,<0.05,<0.05
ReliefFsa,<0.05,<0.05,<0.05,<0.05,0.2641,0.9605,1,<0.05,<0.05,<0.05,<0.05,<0.05
CorrelationFsa,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,<0.05,<0.05,<0.05
CorrelationBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,<0.05,0.1024,<0.05
ReliefBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,1,0.9081,0.1781
MutualInfoBoostedTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1024,0.9081,1,<0.05
BoostedRegTree,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,0.1781,<0.05,1
